style,n_items,n_pairs,ndcg,ndcg_at_10,ndcg_at_25,ndcg_at_50,accuracy_top_10,accuracy_top_25,accuracy_overall
base,100,1000,0.796133,0.393278,0.417329,0.483845,0.300,0.400,0.480
confident_1,100,1000,0.798408,0.529898,0.385621,0.483496,0.500,0.320,0.470
confident_2,100,1000,0.812765,0.457675,0.488784,0.556479,0.400,0.480,0.480
doubtful_1,100,1000,0.850043,0.611775,0.585659,0.565191,0.600,0.560,0.480
doubtful_2,100,1000,0.751960,0.301204,0.433911,0.510053,0.400,0.520,0.450
evidential_1,100,1000,0.812261,0.567227,0.426807,0.488362,0.500,0.360,0.500
evidential_2,100,1000,0.889400,0.708441,0.667481,0.629101,0.600,0.600,0.480
