style,n_items,n_pairs,ndcg,ndcg_at_10,ndcg_at_25,ndcg_at_50,accuracy_top_10,accuracy_top_25,accuracy_overall
base,100,596,0.912165,0.930569,0.777622,0.670167,0.900,0.720,0.480
confident_1,100,552,0.844284,0.656303,0.604914,0.570753,0.700,0.600,0.470
confident_2,100,521,0.805638,0.384594,0.458862,0.558522,0.400,0.480,0.480
doubtful_1,100,414,0.917006,0.864315,0.725269,0.682574,0.800,0.640,0.480
doubtful_2,100,475,0.896283,0.848238,0.685450,0.670800,0.800,0.600,0.450
evidential_1,100,604,0.889028,0.696162,0.681734,0.640204,0.600,0.640,0.500
evidential_2,100,646,0.924629,0.905212,0.827623,0.717302,0.900,0.800,0.480
