style,n_items,n_pairs,ndcg,ndcg_at_10,ndcg_at_25,ndcg_at_50,accuracy_top_10,accuracy_top_25,accuracy_overall
base,100,443,0.891219,0.753814,0.652940,0.677350,0.700,0.600,0.550
confident_1,100,1194,0.904671,0.795166,0.710544,0.688615,0.800,0.680,0.540
confident_2,100,1126,0.952926,1.000000,0.934953,0.765948,1.000,0.920,0.590
doubtful_1,100,1278,0.895137,0.627507,0.673998,0.691871,0.500,0.640,0.550
doubtful_2,100,1288,0.893881,0.684018,0.708778,0.653159,0.600,0.680,0.560
evidential_1,100,1076,0.884386,0.583715,0.678440,0.669032,0.500,0.680,0.560
evidential_2,100,1096,0.907321,0.820523,0.665461,0.713631,0.800,0.600,0.600
